Date,EGP=X
2023-04-29 11:18:03,30.598805
2023-04-30 12:03:03,30.598805
2023-05-01 11:53:04,30.917803
2023-05-02 11:15:03,30.897697
2023-05-03 11:16:03,30.898398
2023-05-04 12:08:03,30.946403
2023-05-05 11:42:03,30.950097
2023-05-06 12:06:04,30.271596
2023-05-07 11:46:03,30.271596
2023-05-08 11:51:03,30.9036
2023-05-10 11:56:03,30.901502
2023-05-11 11:44:04,30.919401
2023-05-12 11:47:04,30.892699
2023-05-13 11:52:03,30.647653
2023-05-14 11:37:03,30.647653
2023-05-15 12:03:04,30.903199
2023-05-16 11:35:03,30.901036
2023-05-17 17:31:03,30.895996
2023-05-18 11:32:02,30.898461
2023-05-19 11:23:03,30.896696
2023-05-20 11:15:03,30.817203
2023-05-21 10:55:03,30.817203
2023-05-22 11:25:03,30.9548
2023-05-23 11:07:03,30.9492
2023-05-24 10:57:03,30.901097
2023-05-25 10:54:03,30.953403
2023-05-26 11:14:03,30.898298
2023-05-27 11:17:03,30.883929
2023-05-28 11:14:03,30.883929
2023-05-29 11:24:03,30.894803
2023-05-30 10:55:03,30.915798
2023-05-31 10:55:03,30.898895
2023-06-01 11:00:04,30.900984
2023-06-02 11:02:03,30.89782
2023-06-03 10:56:03,30.846968
2023-06-04 10:46:03,30.846968
2023-06-05 11:26:03,30.899428
2023-06-06 11:03:03,30.901202
2023-06-07 10:56:03,30.901599
2023-06-08 11:14:03,30.893574
2023-06-09 11:25:03,30.948982
2023-06-10 11:27:03,30.90242
2023-06-11 10:52:03,30.90242
2023-06-12 12:02:03,30.8976
2023-06-13 11:23:03,30.906099
2023-06-14 11:36:04,30.903799
2023-06-15 10:58:03,30.892594
2023-06-16 11:02:03,30.898801
2023-06-17 10:58:03,30.813916
2023-06-18 10:43:03,30.813916
2023-06-19 11:18:03,30.900202
2023-06-20 10:42:03,30.898398
2023-06-21 10:57:04,30.9515
2023-06-22 10:36:04,30.901799
2023-06-23 10:49:03,30.896803
2023-06-24 10:52:03,30.774084
2023-06-25 10:17:03,30.774084
2023-06-26 11:17:04,30.900198
2023-06-27 10:54:04,30.892802
2023-06-29 10:27:03,30.898701
2023-06-30 10:54:03,30.903398
2023-07-01 11:01:03,30.867396
2023-07-02 10:26:03,30.867396
2023-07-03 10:58:04,30.896623
2023-07-04 10:33:03,30.950399
2023-07-05 10:38:04,30.898902
2023-07-06 10:26:02,30.961662
2023-07-07 10:33:02,30.891496
2023-07-08 10:59:03,30.660715
2023-07-09 10:35:03,30.660715
2023-07-10 11:10:04,30.899596
2023-07-11 10:43:03,30.900095
2023-07-12 10:58:03,30.948702
2023-07-13 10:46:03,30.898501
2023-07-14 11:04:03,30.900603
2023-07-15 10:58:04,30.84678
2023-07-16 10:13:03,30.84678
2023-07-17 10:53:04,30.897972
2023-07-18 11:09:04,30.897405
2023-07-19 10:27:04,30.90338
2023-07-20 10:24:03,30.803101
2023-07-21 10:43:03,30.802281
2023-07-22 10:38:03,30.77925
2023-07-23 10:33:03,30.77925
2023-07-24 10:43:04,30.8991
2023-07-25 10:35:04,30.924102
2023-07-26 10:31:03,30.89695
2023-07-27 10:21:03,30.947403
2023-07-28 10:16:03,30.893799
2023-07-30 10:12:04,30.841299
2023-07-31 10:32:03,30.951596
2023-08-01 10:25:03,30.900198
2023-08-02 10:18:03,30.930972
2023-08-03 10:19:03,30.802005
2023-08-04 10:18:03,30.957498
2023-08-05 10:34:03,30.719811
2023-08-06 10:09:03,30.719811
2023-08-07 10:34:03,30.7996
2023-08-08 10:37:03,30.923969
2023-08-09 10:14:04,30.906374
2023-08-10 10:31:03,30.899397
2023-08-11 10:13:03,30.898298
2023-08-12 10:26:03,30.981714
2023-08-13 10:16:03,30.981714
2023-08-14 10:21:03,30.895229
2023-08-15 10:14:03,30.893404
2023-08-16 10:17:03,30.952099
2023-08-17 10:02:04,30.795401
2023-08-18 09:57:03,30.907198
2023-08-19 10:12:03,30.841482
2023-08-20 10:13:03,30.819171
2023-08-21 10:03:04,30.899502
