24K - Global Price,22K - Global Price,21K - Global Price,18K - Global Price,14K - Global Price,12K - Global Price,9K - Global Price
1825.0,1673.0,1597.0,1369.0,1065.0,912.54,684.41
1825.0,1673.0,1597.0,1369.0,1065.0,912.55,684.41
1806.0,1656.0,1581.0,1355.0,1054.0,903.2,677.4
1801.0,1651.0,1576.0,1350.0,1050.0,900.27,675.21
1797.0,1648.0,1573.0,1348.0,1048.0,898.68,674.01
1806.0,1656.0,1581.0,1355.0,1054.0,903.17,677.38
1806.0,1656.0,1581.0,1355.0,1054.0,903.17,677.38
1810.0,1659.0,1584.0,1357.0,1056.0,904.87,678.65
1797.0,1647.0,1572.0,1348.0,1048.0,898.4,673.8
1779.0,1630.0,1556.0,1334.0,1037.0,889.26,666.95
1779.0,1630.0,1556.0,1334.0,1037.0,889.26,666.95
1785.0,1636.0,1562.0,1338.0,1041.0,892.28,669.21
1786.0,1637.0,1563.0,1339.0,1042.0,892.98,669.74
1813.0,1662.0,1586.0,1360.0,1058.0,906.46,679.85
1813.0,1662.0,1586.0,1360.0,1058.0,906.43,679.83
1827.0,1674.0,1598.0,1370.0,1066.0,913.33,685.0
1835.0,1682.0,1606.0,1376.0,1070.0,917.48,688.11
1835.0,1682.0,1606.0,1376.0,1070.0,917.48,688.11
1830.0,1678.0,1601.0,1373.0,1068.0,915.08,686.32
1818.0,1667.0,1591.0,1364.0,1061.0,909.05,681.79
1803.0,1653.0,1578.0,1352.0,1052.0,901.56,676.17
1808.0,1658.0,1582.0,1356.0,1055.0,904.18,678.14
1824.0,1672.0,1596.0,1368.0,1064.0,911.77,683.83
1848.0,1694.0,1617.0,1386.0,1078.0,924.0,693.01
1848.0,1694.0,1617.0,1386.0,1078.0,924.0,693.01
1882.0,1725.0,1647.0,1412.0,1098.0,941.04,705.78
1894.0,1736.0,1657.0,1420.0,1105.0,946.8,710.1
1908.0,1749.0,1669.0,1431.0,1113.0,953.81,715.36
1915.0,1755.0,1676.0,1436.0,1117.0,957.44,718.08
1918.0,1758.0,1678.0,1438.0,1119.0,958.89,719.17
1951.0,1788.0,1707.0,1463.0,1138.0,975.25,731.44
1951.0,1788.0,1707.0,1463.0,1138.0,975.25,731.44
1972.0,1808.0,1726.0,1479.0,1151.0,986.18,739.64
1956.0,1793.0,1712.0,1467.0,1141.0,977.98,733.49
1932.0,1771.0,1691.0,1449.0,1127.0,966.04,724.53
1967.0,1803.0,1721.0,1475.0,1147.0,983.3,737.48
1963.0,1799.0,1717.0,1472.0,1145.0,981.29,735.97
1963.0,1799.0,1717.0,1472.0,1145.0,981.29,735.97
1943.0,1781.0,1700.0,1457.0,1133.0,971.36,728.52
1947.0,1785.0,1704.0,1460.0,1136.0,973.45,730.09
1955.0,1792.0,1710.0,1466.0,1140.0,977.25,732.94
1957.0,1794.0,1712.0,1468.0,1142.0,978.51,733.89
1963.0,1799.0,1717.0,1472.0,1145.0,981.34,736.01
1946.0,1784.0,1703.0,1460.0,1135.0,973.01,729.76
1960.0,1797.0,1715.0,1470.0,1143.0,980.07,735.06
1969.0,1805.0,1723.0,1477.0,1149.0,984.61,738.46
2011.0,1844.0,1760.0,1509.0,1173.0,1006.0,754.28
2006.0,1839.0,1755.0,1504.0,1170.0,1003.0,752.22
1996.0,1829.0,1746.0,1497.0,1164.0,997.8,748.35
1979.0,1814.0,1731.0,1484.0,1154.0,989.28,741.96
1979.0,1814.0,1731.0,1484.0,1154.0,989.28,741.96
1993.0,1827.0,1744.0,1494.0,1162.0,996.27,747.21
1997.0,1830.0,1747.0,1497.0,1165.0,998.27,748.7
1998.0,1831.0,1748.0,1498.0,1165.0,998.78,749.09
2024.0,1855.0,1771.0,1518.0,1181.0,1012.0,759.02
2029.0,1860.0,1775.0,1522.0,1183.0,1014.0,760.78
1974.0,1809.0,1727.0,1480.0,1151.0,986.77,740.08
1974.0,1809.0,1727.0,1480.0,1151.0,986.77,740.08
1996.0,1829.0,1746.0,1497.0,1164.0,997.82,748.37
1992.0,1826.0,1743.0,1494.0,1162.0,996.02,747.02
1963.0,1800.0,1718.0,1473.0,1145.0,981.72,736.29
1993.0,1827.0,1744.0,1495.0,1163.0,996.55,747.42
1977.0,1812.0,1730.0,1483.0,1153.0,988.39,741.29
1953.0,1790.0,1709.0,1465.0,1139.0,976.34,732.26
1953.0,1790.0,1709.0,1465.0,1139.0,976.34,732.26
1971.0,1807.0,1725.0,1479.0,1150.0,985.74,739.31
1971.0,1806.0,1724.0,1478.0,1149.0,985.27,738.96
1990.0,1824.0,1742.0,1493.0,1161.0,995.13,746.35
1992.0,1826.0,1743.0,1494.0,1162.0,996.18,747.14
1971.0,1807.0,1725.0,1478.0,1150.0,985.56,739.17
1960.0,1796.0,1715.0,1470.0,1143.0,979.75,734.82
1960.0,1796.0,1715.0,1470.0,1143.0,979.75,734.82
1978.0,1814.0,1731.0,1484.0,1154.0,989.18,741.89
1976.0,1812.0,1729.0,1482.0,1153.0,988.11,741.09
1998.0,1832.0,1748.0,1499.0,1166.0,999.06,749.3
2033.0,1864.0,1779.0,1525.0,1186.0,1017.0,762.42
2030.0,1861.0,1776.0,1523.0,1184.0,1015.0,761.24
1965.0,1801.0,1719.0,1474.0,1146.0,982.42,736.81
1965.0,1801.0,1719.0,1474.0,1146.0,982.42,736.81
2012.0,1844.0,1761.0,1509.0,1174.0,1006.0,754.56
2019.0,1851.0,1767.0,1514.0,1178.0,1010.0,757.16
2019.0,1851.0,1767.0,1514.0,1178.0,1009.0,757.08
2020.0,1852.0,1768.0,1515.0,1178.0,1010.0,757.57
1994.0,1828.0,1745.0,1496.0,1163.0,997.18,747.89
1982.0,1817.0,1735.0,1487.0,1156.0,991.12,743.34
1982.0,1817.0,1735.0,1487.0,1156.0,991.12,743.34
2004.0,1837.0,1753.0,1503.0,1169.0,1002.0,751.45
1996.0,1830.0,1746.0,1497.0,1164.0,997.92,748.44
1973.0,1808.0,1726.0,1479.0,1151.0,986.31,739.73
1958.0,1795.0,1713.0,1468.0,1142.0,978.88,734.16
1954.0,1791.0,1709.0,1465.0,1140.0,976.79,732.6
1961.0,1797.0,1716.0,1470.0,1144.0,980.3,735.23
1961.0,1797.0,1716.0,1470.0,1144.0,980.3,735.23
1969.0,1805.0,1723.0,1477.0,1149.0,984.53,738.4
1950.0,1788.0,1706.0,1463.0,1138.0,975.07,731.3
1963.0,1800.0,1718.0,1473.0,1145.0,981.73,736.3
1950.0,1787.0,1706.0,1462.0,1137.0,974.98,731.23
1941.0,1779.0,1699.0,1456.0,1132.0,970.56,727.93
1932.0,1771.0,1690.0,1449.0,1127.0,965.77,724.33
1928.0,1768.0,1687.0,1446.0,1125.0,964.24,723.18
1932.0,1771.0,1691.0,1449.0,1127.0,966.07,724.56
1939.0,1778.0,1697.0,1455.0,1131.0,969.74,727.3
1947.0,1785.0,1704.0,1460.0,1136.0,973.57,730.18
1946.0,1783.0,1702.0,1459.0,1135.0,972.77,729.58
1969.0,1805.0,1723.0,1477.0,1149.0,984.45,738.34
1933.0,1772.0,1691.0,1450.0,1127.0,966.42,724.82
1933.0,1772.0,1691.0,1450.0,1127.0,966.42,724.82
1934.0,1773.0,1693.0,1451.0,1128.0,967.16,725.38
1951.0,1788.0,1707.0,1463.0,1138.0,975.4,731.55
1952.0,1790.0,1708.0,1464.0,1139.0,976.21,732.16
1934.0,1772.0,1692.0,1450.0,1128.0,966.79,725.09
1955.0,1792.0,1710.0,1466.0,1140.0,977.32,732.99
1952.0,1789.0,1708.0,1464.0,1139.0,975.99,732.0
1952.0,1790.0,1708.0,1464.0,1139.0,976.12,732.09
1950.0,1787.0,1706.0,1462.0,1137.0,974.9,731.18
1951.0,1788.0,1707.0,1463.0,1138.0,975.3,731.48
1939.0,1778.0,1697.0,1455.0,1131.0,969.7,727.28
1921.0,1761.0,1681.0,1441.0,1121.0,960.7,720.53
1949.0,1787.0,1706.0,1462.0,1137.0,974.55,730.92
1943.0,1782.0,1701.0,1458.0,1134.0,971.73,728.8
1943.0,1782.0,1701.0,1458.0,1134.0,971.73,728.8
1938.0,1776.0,1696.0,1453.0,1130.0,968.84,726.63
1944.0,1782.0,1701.0,1458.0,1134.0,971.9,728.93
